Afghanistan  Kabul
Albania  Tirana
Algeria  Algiers
Andorra  Andorra
Angola  Luanda
Barbuda  SaintJohns
Argentina  BuenosAires
Armenia  Yerevan
Australia  Canberra
Austria  Vienna
Azerbaijan  Baku
Bahamas  Nassau
Bahrain  Manama
Bangladesh  Dhaka
Barbados  Bridgetown
Belarus  Minsk
Belgium  Brussels
Belize  Belmopan
Benin  PortoNovo
Bhutan  Thimphu
Bolivia  LaPaz
Herzegovina  Sarajevo
Botswana  Gaborone
Brazil  Brasilia
Brunei  BandarSeriBegawan
Bulgaria  Sofia
Faso  Ouagadougou
Burundi  Bujumbura
Cambodia  PhnomPenh
Cameroon  Yaounde
Canada  Ottawa
CapeVerde  Praia
Chad  NDjamena
Chile  Santiago
China  Beijing
Colombia  Bogota
Comoros  Moroni
Congo  Brazzaville
CostaRica  SanJose
Croatia  Zagreb
Cuba  Havana
Cyprus  Nicosia
Czech  Prague
Denmark  Copenhagen
Djibouti  Djibouti
Dominica  Roseau
Dominican  SantoDomingo
Ecuador  Quito
Egypt  Cairo
Salvador  SanSalvador
Guinea  Malabo
Eritrea  Asmara
Estonia  Tallinn
Ethiopia  AddisAbaba
Fiji  Suva
Finland  Helsinki
France  Paris
Gabon  Libreville
Gambia  Banjul
Georgia  Tbilisi
Germany  Berlin
Ghana  Accra
Greece  Athens
Grenada  SaintGeorges
Guatemala  GuatemalaCity
Guinea  Conakry
Bissau  Bissau
Guyana  Georgetown
Haiti  PortAuPrince
Honduras  Tegucigalpa
Hungary  Budapest
Iceland  Reykjavik
India  NewDelhi
Indonesia  Jakarta
Iran  Tehran
Iraq  Baghdad
Ireland  Dublin
Israel  Jerusalem
Italy  Rome
Jamaica  Kingston
Japan  Tokyo
Jordan  Amman
Kazakhstan  Astana
Kenya  Nairobi
Kiribati  TarawaAtoll
Korea  Seoul
Kosovo  Pristina
Kuwait  KuwaitCity
Kyrgyzstan  Bishkek
Laos  Vientiane
Latvia  Riga
Lebanon  Beirut
Lesotho  Maseru
Liberia  Monrovia
Libya  Tripoli
Liechtenstein  Vaduz
Lithuania  Vilnius
Luxembourg  Luxembourg
Macedonia  Skopje
Madagascar  Antananarivo
Malawi  Lilongwe
Malaysia  KualaLumpur
Maldives  Male
Mali  Bamako
Malta  Valletta
MarshallIslands  Majuro
Mauritania  Nouakchott
Mauritius  PortLouis
Mexico  MexicoCity
Micronesia  Palikir
Moldova  Chisinau
Monaco  Monaco
Mongolia  Ulaanbaatar
Montenegro  Podgorica
Morocco  Rabat
Mozambique  Maputo
Myanmar  Naypyidaw
Namibia  Windhoek
Nauru  YarenDistrict
Nepal  Kathmandu
Netherlands  Amsterdam
NewZealand  Wellington
Nicaragua  Managua
Niger  Niamey
Nigeria  Abuja
Norway  Oslo
Oman  Muscat
Pakistan  Islamabad
Palau  Melekeok
Panama PanamaCity
PapuaNewGuinea  PortMoresby
Paraguay  Asuncion
Peru  Lima
Philippines  Manila
Poland  Warsaw
Portugal  Lisbon
Qatar  Doha
Romania  Bucharest
Russia  Moscow
Rwanda  Kigali
Samoa  Apia
SanMarino  SanMarino
SaoTomeAndPrincipe  SaoTome
Arabia  Riyadh
Senegal  Dakar
Serbia  Belgrade
Seychelles  Victoria
Sierra  Freetown
Singapore  Singapore
Slovakia  Bratislava
Slovenia  Ljubljana
Solomon Honiara
Somalia  Mogadishu
Africa  Pretoria
Sudan  Juba
Spain  Madrid
Sudan  Khartoum
Suriname  Paramaribo
Swaziland  Mbabane
Sweden  Stockholm
Switzerland  Bern
Syria  Damascus
Taiwan  Taipei
Tajikistan  Dushanbe
Tanzania  Dodoma
Thailand  Bangkok
Togo  Lome
Tonga  NukuAlofa
Trinidad  PortOfSpain
Tunisia  Tunis
Turkey  Ankara
Turkmenistan Ashgabat
Tuvalu  Funafuti
Uganda  Kampala
Ukraine  Kyiv
Uk  London
Usa  Washington
Uruguay  Montevideo
Uzbekistan  Tashkent
Vanuatu  PortVila
Venezuela  Caracas
Vietnam  Hanoi
Yemen  Sanaa
Zambia  Lusaka
Zimbabwe  Harare
